Name,meses_10,meses_13,Q1,Q2,Q3,Q4
S10,-0.694072865,-0.42526382,0.999999982,3.19E-22,4.83E-199,1.79E-08
S102,0.834914987,1.44152822,6.34E-07,3.81E-13,1.12E-177,0.999999366
S103,-1.143075338,-0.880440159,1.69E-27,1,8.87E-157,6.40E-22
S104,-0.743650462,-0.528322733,1.15E-10,0.999827325,4.07E-169,0.000172675
S105,-4.115431194,-3.136086454,1.02E-18,1,2.11E-169,2.68E-15
S106,-3.729832533,-2.493263183,8.77E-15,1,4.42E-169,4.95E-10
S107,1.07384353,0.2683154,1.75E-06,3.47E-07,5.91E-171,0.999997903
S108,-1.765645258,-1.387966808,2.33E-06,0.107356057,1.07E-171,0.892641612
S109,-1.442863944,-0.650278672,8.35E-05,9.94E-13,1.63E-184,0.999916548
S11,1.028217326,1.762284313,2.53E-05,3.08E-13,2.76E-184,0.999974699
S110,-5.094395688,-3.745038725,1.13E-06,0.257785635,7.79E-169,0.742213237
S111,-4.654295391,-3.897862008,5.46E-11,0.99999695,5.00E-170,3.05E-06
S112,0.291213576,2.065986913,3.47E-05,6.56E-12,6.85E-181,0.999965282
S113,1.003682545,0.323997373,1.54E-06,1.31E-11,8.06E-176,0.999998464
S114,-0.837955284,-1.103663267,6.61E-08,1.56E-14,5.92E-179,0.999999934
S115,-0.72324375,-0.586848394,4.22E-07,5.48E-14,4.64E-181,0.999999578
S116,0.727147191,-0.129447427,3.10E-07,1.83E-12,1.63E-184,0.99999969
S117,-3.42372185,-4.214291393,3.57E-12,0.999999929,5.68E-175,7.13E-08
S118,-0.169911786,0.365592752,2.98E-07,1.11E-13,7.91E-179,0.999999702
S119,-1.206375676,-0.635569423,8.61E-07,7.72E-15,1.80E-182,0.999999139
S12,0.926397345,-0.479900358,2.38E-05,5.77E-14,5.71E-186,0.999976195
S120,0.417332839,0.495460929,2.47E-06,9.57E-15,1.25E-186,0.999997528
S121,1.608137835,0.939104515,3.91E-09,7.35E-17,1.43E-184,0.999999996
S122,-0.877192587,-1.856133388,2.71E-06,2.78E-10,4.98E-181,0.999997291
S123,-2.888049842,-2.405337896,1.52E-06,1.20E-13,3.85E-182,0.999998483
S124,-2.26795553,-1.766159676,7.35E-07,7.12E-13,5.30E-182,0.999999265
S125,-2.138894429,-1.8415878,2.10E-07,4.37E-11,2.29E-182,0.99999979
S126,-0.949295189,-1.369202549,9.89E-06,2.61E-12,2.14E-185,0.99999011
S127,1.295384143,-0.832716942,7.13E-08,1.53E-12,2.25E-182,0.999999929
S128,0.506024257,1.047982621,5.58E-06,1.27E-10,2.32E-180,0.99999442
S129,0.038808573,0.314122619,5.31E-07,1.11E-12,4.23E-183,0.999999469
